1,A K Q J T,Royal Flush
2,K Q J T 9,King-High Straight Flush
3,Q J T 9 8,Queen-High Straight Flush
4,J T 9 8 7,Jack-High Straight Flush
5,T 9 8 7 6,Ten-High Straight Flush
6,9 8 7 6 5,Nine-High Straight Flush
7,8 7 6 5 4,Eight-High Straight Flush
8,7 6 5 4 3,Seven-High Straight Flush
9,6 5 4 3 2,Six-High Straight Flush
10,5 4 3 2 A,Five-High Straight Flush
11,A A A A K,Four Aces
12,A A A A Q,Four Aces
13,A A A A J,Four Aces
14,A A A A T,Four Aces
15,A A A A 9,Four Aces
16,A A A A 8,Four Aces
17,A A A A 7,Four Aces
18,A A A A 6,Four Aces
19,A A A A 5,Four Aces
20,A A A A 4,Four Aces
21,A A A A 3,Four Aces
22,A A A A 2,Four Aces
23,K K K K A,Four Kings
24,K K K K Q,Four Kings
25,K K K K J,Four Kings
26,K K K K T,Four Kings
27,K K K K 9,Four Kings
28,K K K K 8,Four Kings
29,K K K K 7,Four Kings
30,K K K K 6,Four Kings
31,K K K K 5,Four Kings
32,K K K K 4,Four Kings
33,K K K K 3,Four Kings
34,K K K K 2,Four Kings
35,Q Q Q Q A,Four Queens
36,Q Q Q Q K,Four Queens
37,Q Q Q Q J,Four Queens
38,Q Q Q Q T,Four Queens
39,Q Q Q Q 9,Four Queens
40,Q Q Q Q 8,Four Queens
41,Q Q Q Q 7,Four Queens
42,Q Q Q Q 6,Four Queens
43,Q Q Q Q 5,Four Queens
44,Q Q Q Q 4,Four Queens
45,Q Q Q Q 3,Four Queens
46,Q Q Q Q 2,Four Queens
47,J J J J A,Four Jacks
48,J J J J K,Four Jacks
49,J J J J Q,Four Jacks
50,J J J J T,Four Jacks
51,J J J J 9,Four Jacks
52,J J J J 8,Four Jacks
53,J J J J 7,Four Jacks
54,J J J J 6,Four Jacks
55,J J J J 5,Four Jacks
56,J J J J 4,Four Jacks
57,J J J J 3,Four Jacks
58,J J J J 2,Four Jacks
59,T T T T A,Four Tens
60,T T T T K,Four Tens
61,T T T T Q,Four Tens
62,T T T T J,Four Tens
63,T T T T 9,Four Tens
64,T T T T 8,Four Tens
65,T T T T 7,Four Tens
66,T T T T 6,Four Tens
67,T T T T 5,Four Tens
68,T T T T 4,Four Tens
69,T T T T 3,Four Tens
70,T T T T 2,Four Tens
71,9 9 9 9 A,Four Nines
72,9 9 9 9 K,Four Nines
73,9 9 9 9 Q,Four Nines
74,9 9 9 9 J,Four Nines
75,9 9 9 9 T,Four Nines
76,9 9 9 9 8,Four Nines
77,9 9 9 9 7,Four Nines
78,9 9 9 9 6,Four Nines
79,9 9 9 9 5,Four Nines
80,9 9 9 9 4,Four Nines
81,9 9 9 9 3,Four Nines
83,8 8 8 8 A,Four Eights
84,8 8 8 8 K,Four Eights
85,8 8 8 8 Q,Four Eights
86,8 8 8 8 J,Four Eights
87,8 8 8 8 T,Four Eights
88,8 8 8 8 9,Four Eights
89,8 8 8 8 7,Four Eights
90,8 8 8 8 6,Four Eights
91,8 8 8 8 5,Four Eights
92,8 8 8 8 4,Four Eights
93,8 8 8 8 3,Four Eights
95,7 7 7 7 A,Four Sevens
96,7 7 7 7 K,Four Sevens
97,7 7 7 7 Q,Four Sevens
98,7 7 7 7 J,Four Sevens
99,7 7 7 7 T,Four Sevens
100,7 7 7 7 9,Four Sevens
101,7 7 7 7 8,Four Sevens
102,7 7 7 7 6,Four Sevens
103,7 7 7 7 5,Four Sevens
104,7 7 7 7 4,Four Sevens
105,7 7 7 7 3,Four Sevens
107,6 6 6 6 A,Four Sixes
108,6 6 6 6 K,Four Sixes
109,6 6 6 6 Q,Four Sixes
110,6 6 6 6 J,Four Sixes
111,6 6 6 6 T,Four Sixes
112,6 6 6 6 9,Four Sixes
113,6 6 6 6 8,Four Sixes
114,6 6 6 6 7,Four Sixes
115,6 6 6 6 5,Four Sixes
116,6 6 6 6 4,Four Sixes
117,6 6 6 6 3,Four Sixes
119,5 5 5 5 A,Four Fives
120,5 5 5 5 K,Four Fives
121,5 5 5 5 Q,Four Fives
122,5 5 5 5 J,Four Fives
123,5 5 5 5 T,Four Fives
124,5 5 5 5 9,Four Fives
125,5 5 5 5 8,Four Fives
126,5 5 5 5 7,Four Fives
127,5 5 5 5 6,Four Fives
128,5 5 5 5 4,Four Fives
129,5 5 5 5 3,Four Fives
131,4 4 4 4 A,Four Fours
132,4 4 4 4 K,Four Fours
133,4 4 4 4 Q,Four Fours
134,4 4 4 4 J,Four Fours
135,4 4 4 4 T,Four Fours
136,4 4 4 4 9,Four Fours
137,4 4 4 4 8,Four Fours
138,4 4 4 4 7,Four Fours
139,4 4 4 4 6,Four Fours
140,4 4 4 4 5,Four Fours
141,4 4 4 4 3,Four Fours
143,3 3 3 3 A,Four Treys
144,3 3 3 3 K,Four Treys
145,3 3 3 3 Q,Four Treys
146,3 3 3 3 J,Four Treys
147,3 3 3 3 T,Four Treys
148,3 3 3 3 9,Four Treys
149,3 3 3 3 8,Four Treys
150,3 3 3 3 7,Four Treys
151,3 3 3 3 6,Four Treys
152,3 3 3 3 5,Four Treys
153,3 3 3 3 4,Four Treys
155,2 2 2 2 A,Four Deuces
156,2 2 2 2 K,Four Deuces
157,2 2 2 2 Q,Four Deuces
158,2 2 2 2 J,Four Deuces
159,2 2 2 2 T,Four Deuces
160,2 2 2 2 9,Four Deuces
161,2 2 2 2 8,Four Deuces
162,2 2 2 2 7,Four Deuces
163,2 2 2 2 6,Four Deuces
164,2 2 2 2 5,Four Deuces
165,2 2 2 2 4,Four Deuces
167,A A A K K,Aces Full over Kings
168,A A A Q Q,Aces Full over Queens
169,A A A J J,Aces Full over Jacks
170,A A A T T,Aces Full over Tens
171,A A A 9 9,Aces Full over Nines
172,A A A 8 8,Aces Full over Eights
173,A A A 7 7,Aces Full over Sevens
174,A A A 6 6,Aces Full over Sixes
175,A A A 5 5,Aces Full over Fives
176,A A A 4 4,Aces Full over Fours
177,A A A 3 3,Aces Full over Treys
178,A A A 2 2,Aces Full over Deuces
179,K K K A A,Kings Full over Aces
180,K K K Q Q,Kings Full over Queens
181,K K K J J,Kings Full over Jacks
182,K K K T T,Kings Full over Tens
183,K K K 9 9,Kings Full over Nines
184,K K K 8 8,Kings Full over Eights
185,K K K 7 7,Kings Full over Sevens
186,K K K 6 6,Kings Full over Sixes
187,K K K 5 5,Kings Full over Fives
188,K K K 4 4,Kings Full over Fours
189,K K K 3 3,Kings Full over Treys
190,K K K 2 2,Kings Full over Deuces
191,Q Q Q A A,Queens Full over Aces
192,Q Q Q K K,Queens Full over Kings
193,Q Q Q J J,Queens Full over Jacks
194,Q Q Q T T,Queens Full over Tens
195,Q Q Q 9 9,Queens Full over Nines
196,Q Q Q 8 8,Queens Full over Eights
197,Q Q Q 7 7,Queens Full over Sevens
198,Q Q Q 6 6,Queens Full over Sixes
199,Q Q Q 5 5,Queens Full over Fives
200,Q Q Q 4 4,Queens Full over Fours
201,Q Q Q 3 3,Queens Full over Treys
202,Q Q Q 2 2,Queens Full over Deuces
203,J J J A A,Jacks Full over Aces
204,J J J K K,Jacks Full over Kings
205,J J J Q Q,Jacks Full over Queens
206,J J J T T,Jacks Full over Tens
207,J J J 9 9,Jacks Full over Nines
208,J J J 8 8,Jacks Full over Eights
209,J J J 7 7,Jacks Full over Sevens
210,J J J 6 6,Jacks Full over Sixes
211,J J J 5 5,Jacks Full over Fives
212,J J J 4 4,Jacks Full over Fours
213,J J J 3 3,Jacks Full over Treys
214,J J J 2 2,Jacks Full over Deuces
215,T T T A A,Tens Full over Aces
216,T T T K K,Tens Full over Kings
217,T T T Q Q,Tens Full over Queens
218,T T T J J,Tens Full over Jacks
219,T T T 9 9,Tens Full over Nines
220,T T T 8 8,Tens Full over Eights
221,T T T 7 7,Tens Full over Sevens
222,T T T 6 6,Tens Full over Sixes
223,T T T 5 5,Tens Full over Fives
224,T T T 4 4,Tens Full over Fours
225,T T T 3 3,Tens Full over Treys
226,T T T 2 2,Tens Full over Deuces
227,9 9 9 A A,Nines Full over Aces
228,9 9 9 K K,Nines Full over Kings
229,9 9 9 Q Q,Nines Full over Queens
230,9 9 9 J J,Nines Full over Jacks
231,9 9 9 T T,Nines Full over Tens
232,9 9 9 8 8,Nines Full over Eights
233,9 9 9 7 7,Nines Full over Sevens
234,9 9 9 6 6,Nines Full over Sixes
235,9 9 9 5 5,Nines Full over Fives
236,9 9 9 4 4,Nines Full over Fours
237,9 9 9 3 3,Nines Full over Treys
238,9 9 9 2 2,Nines Full over Deuces
239,8 8 8 A A,Eights Full over Aces
240,8 8 8 K K,Eights Full over Kings
241,8 8 8 Q Q,Eights Full over Queens
242,8 8 8 J J,Eights Full over Jacks
243,8 8 8 T T,Eights Full over Tens
244,8 8 8 9 9,Eights Full over Nines
245,8 8 8 7 7,Eights Full over Sevens
246,8 8 8 6 6,Eights Full over Sixes
247,8 8 8 5 5,Eights Full over Fives
248,8 8 8 4 4,Eights Full over Fours
249,8 8 8 3 3,Eights Full over Treys
250,8 8 8 2 2,Eights Full over Deuces
251,7 7 7 A A,Sevens Full over Aces
252,7 7 7 K K,Sevens Full over Kings
253,7 7 7 Q Q,Sevens Full over Queens
254,7 7 7 J J,Sevens Full over Jacks
255,7 7 7 T T,Sevens Full over Tens
256,7 7 7 9 9,Sevens Full over Nines
257,7 7 7 8 8,Sevens Full over Eights
258,7 7 7 6 6,Sevens Full over Sixes
259,7 7 7 5 5,Sevens Full over Fives
260,7 7 7 4 4,Sevens Full over Fours
261,7 7 7 3 3,Sevens Full over Treys
262,7 7 7 2 2,Sevens Full over Deuces
263,6 6 6 A A,Sixes Full over Aces
264,6 6 6 K K,Sixes Full over Kings
265,6 6 6 Q Q,Sixes Full over Queens
266,6 6 6 J J,Sixes Full over Jacks
267,6 6 6 T T,Sixes Full over Tens
